9341504	PEK	1	P32	2013 3 6 8 30	2013 3 7 16 08	1899	410	600	
9269819	PEK	1	P32	2013 3 6 8 45	2013 3 7 18 20	2016	406	1440	
9364418	PEK	1	P32	2013 3 6 21 30	2013 3 8 16 23	2574	590	600	
9271469	PEK	1	P32	2013 3 6 21 55	2013 3 8 14 12	2417	586	600	
9269828	PEK	1	P32	2013 3 6 22 00	2013 3 7 18 30	1230	413	600	
9336683	PEK	1	P32	2013 3 6 22 05	2013 3 8 0 10	1566	364	600	
9269829	PEK	1	P32	2013 3 6 22 35	2013 3 7 19 47	1272	323	600	
9269830	PEK	1	P32	2013 3 6 22 35	2013 3 7 19 10	1235	438	600	
9269833	PEK	1	P32	2013 3 6 23 10	2013 3 8 20 58	2748	814	600	
9364570	PEK	1	P32	2013 3 7 2 20	2013 3 8 5 28	1629	418	720	
9301469	PEK	1	P32	2013 3 7 3 15	2013 3 8 18 14	2340	536	720	
9269837	PEK	1	P32	2013 3 7 3 25	2013 3 7 21 24	1079	305	600	
9364392	PEK	1	P32	2013 3 7 7 30	2013 3 8 14 05	1836	399	600	
9269841	PEK	1	P32	2013 3 7 7 50	2013 3 8 18 24	2075	465	1440	
9269848	PEK	1	P32	2013 3 7 9 00	2013 3 8 1 51	1011	234	600	
9271566	PEK	1	P32	2013 3 7 21 55	2013 3 9 14 03	2408	587	600	
9269855	PEK	1	P32	2013 3 7 22 00	2013 3 8 19 00	1260	445	600	
9337759	PEK	1	P32	2013 3 7 22 25	2013 3 8 18 03	1178	409	600	
9269856	PEK	1	P32	2013 3 7 22 35	2013 3 8 20 12	1297	379	600	
9269857	PEK	1	P32	2013 3 7 22 35	2013 3 8 19 17	1242	425	600	
9337412	PEK	1	P32	2013 3 7 23 00	2013 3 8 19 30	1230	408	600	
9269858	PEK	1	P32	2013 3 7 23 10	2013 3 8 19 52	1242	437	600	
9269860	PEK	1	P32	2013 3 7 23 10	2013 3 9 22 33	2844	789	600	
9350654	PEK	1	P32	2013 3 8 3 15	2013 3 9 12 30	1996	368	600	
